"id","latitude","longitude"
1,10.76363072,106.54623182
2,10.83585558,106.64441933
3,10.82145677,106.62209472
4,10.83132386,106.65423498
5,10.82984729,106.65071553
6,10.81862344,106.61960729
7,10.82727824,106.62707009
8,10.82215715,106.63006355
9,10.74777469,106.71631464
10,10.81578494,106.60336735
11,10.79126293,106.62670886
12,10.8234227,106.60561649
13,10.83442249,106.63122134
14,10.81117302,106.62860231
15,10.83014957,106.6247798
16,10.82335033,106.62903298
17,10.82772413,106.56112344
18,10.8092252,106.64106474
19,10.82330108,106.63009854
20,10.91066637,106.59014739
21,10.84340645,106.65464013
22,10.82376844,106.62925942
23,10.80375796,106.59926912
24,10.85026092,106.61946497
25,10.79385271,106.65924239
26,10.836208,106.64765081
27,10.81803307,106.63828143
28,10.82349958,106.6302499
29,10.73856351,106.53488266
30,10.83306863,106.64162501
31,10.82347361,106.62972759
32,10.76812101,106.64539469
33,10.80262684,106.61363095
34,10.80039678,106.65443878
35,10.83615792,106.61690864
36,10.84113165,106.62655348
37,10.83237631,106.64205136
38,10.82625912,106.63490262
39,10.82251078,106.62961837
40,10.80497329,106.67200364
41,10.84149992,106.64872648
42,10.80389837,106.60778106
43,10.81390364,106.64200056
44,10.82293936,106.62958002
45,10.76977556,106.61393042
46,10.82137611,106.59192942
47,10.79733723,106.60364726
48,10.81819718,106.62218552
49,10.8265318,106.63446606
50,10.82559204,106.6280551
51,10.82234329,106.63052363
52,10.74803776,106.59014249
53,10.83390482,106.63814505
54,10.8388548,106.61938671
55,10.82335228,106.6231477
56,10.81776614,106.62314954
57,10.82213973,106.6291146
58,10.90818967,106.69459524
59,10.81227692,106.60718356
60,10.80779905,106.60860293
61,10.81342496,106.61307068
62,10.83099508,106.62640116
63,10.82289956,106.62896803
64,10.72852429,106.67998823
65,10.8393283,106.59737317
66,10.82435613,106.62031865
67,10.82713184,106.62892763
68,10.82337403,106.63064497
69,10.88252321,106.6948749
70,10.78204019,106.63084247
71,10.79440026,106.64448519
72,10.82462635,106.62901321
73,10.83012506,106.63170418
74,10.82534294,106.6364752
75,10.82274075,106.63012035
76,10.77182231,106.58832948
77,10.84358509,106.65841234
78,10.80066495,106.63663293
79,10.81739141,106.6186387
80,10.81448969,106.63759817
81,10.82254497,106.62930051
82,10.85911948,106.55243027
83,10.82424,106.66895401
84,10.79696305,106.63786112
85,10.82934265,106.62398822
86,10.82603398,106.62778322
87,10.82289892,106.62967934
88,10.89468192,106.57450887
89,10.80695544,106.61569242
90,10.84193871,106.60893617
91,10.8311102,106.62271552
92,10.83208767,106.63210601
93,10.82239941,106.62985015
94,10.86203254,106.70873124
95,10.84959153,106.60736401
96,10.81227337,106.628225
97,10.83315601,106.63292003
98,10.8237556,106.62918825
99,10.76544275,106.63341853
100,10.79607846,106.61332182
101,10.83960936,106.63175454
102,10.81459745,106.63733895
103,10.82227119,106.62974749
104,10.74991382,106.53849836
105,10.81342185,106.6388587
106,10.82258144,106.62884539
107,10.75516742,106.6201892
108,10.83748671,106.62508093
109,10.82987814,106.6272046
110,10.82396156,106.63012216
111,10.8752511,106.56435825
112,10.787284,106.60964517
113,10.84559996,106.65457212
114,10.82841114,106.6196962
115,10.82300506,106.63059863
116,10.82817782,106.72182278
117,10.80885449,106.62427982
118,10.81234684,106.6131524
119,10.80442108,106.63282039
120,10.82639157,106.637243
121,10.82308266,106.63046683
122,10.73742935,106.71975529
123,10.8423938,106.59418309
124,10.8140804,106.6066377
125,10.79641987,106.64503859
126,10.83500211,106.62210935
127,10.81845651,106.62808798
128,10.81936299,106.63399204
129,10.82228029,106.62940095
130,10.72363243,106.61224202
131,10.8222082,106.60598069
132,10.82289854,106.6294123
133,10.77507956,106.55932142
134,10.84599456,106.62973435
135,10.7908715,106.60258176
136,10.82922802,106.64453065
137,10.83585505,106.61791397
138,10.82706517,106.62372634
139,10.82170458,106.62516931
140,10.82243719,106.63048216
141,10.90568477,106.56017751
142,10.82993282,106.64934769
143,10.79803952,106.64993492
144,10.83876402,106.62245359
145,10.81639632,106.62397966
146,10.81005808,106.62435007
147,10.82838389,106.63599021
148,10.82316673,106.63048334
149,10.82630988,106.69128975
150,10.85325355,106.63600182
151,10.81053263,106.61529579
152,10.84856734,106.65712714
153,10.84008306,106.62043367
154,10.82092918,106.64295449
155,10.8166089,106.62520035
156,10.82391029,106.6290991
157,10.88869787,106.64356968
158,10.84173492,106.6210333
159,10.8312267,106.60621632
160,10.83449646,106.64392906
161,10.82025079,106.62862685
162,10.82273305,106.62875644
163,10.79137235,106.61393921
164,10.78674245,106.62311963
165,10.8249378,106.61562488
166,10.84155918,106.64264842
167,10.83244887,106.63910331
168,10.81487001,106.62220017
169,10.82402044,106.63061006
170,10.85925239,106.60257821
171,10.8299103,106.60760165
172,10.83437072,106.59811883
173,10.81303305,106.6189271
174,10.82500236,106.62629623
175,10.82245076,106.62151883
176,10.82326832,106.62878867
177,10.85780629,106.56225309
178,10.82467711,106.63167788
179,10.83543843,106.64494435
180,10.82356754,106.62949262
181,10.88948247,106.5868711
182,10.80700891,106.65292057
183,10.82376748,106.62890885
184,10.81395916,106.6371081
185,10.81692561,106.62602148
186,10.82301287,106.62881803
187,10.7456159,106.6901448
188,10.78627329,106.63085329
189,10.82838383,106.65073818
190,10.82337731,106.62253906
191,10.82053943,106.63919162
192,10.82342078,106.62189226
193,10.82227317,106.6301582
194,10.7458551,106.56457545
195,10.81919234,106.6649427
196,10.82497206,106.61235208
197,10.81174338,106.61814637
198,10.82320673,106.62935979
199,10.88360866,106.53963833
200,10.83358323,106.60083946
201,10.79229897,106.61601213
202,10.83307622,106.62059539
203,10.80441788,106.61704189
204,10.82325898,106.63146051
205,10.82317384,106.62419854
206,10.82241238,106.62993249
207,10.88544827,106.56211987
208,10.80943427,106.61422039
209,10.82348212,106.62972986
210,10.86172446,106.61458023
211,10.82014337,106.60499566
212,10.82389998,106.62976013
213,10.81905513,106.68798443
214,10.78593714,106.66195631
215,10.84014565,106.62195459
216,10.83512111,106.6296679
217,10.82260235,106.63018037
218,10.80277542,106.61285782
219,10.83217649,106.62267898
220,10.83454077,106.610132
221,10.81516161,106.6233
222,10.82266369,106.62993869
223,10.84244307,106.69144777
224,10.84389472,106.62882981
225,10.82322588,106.63028924
226,10.83945027,106.55079715
227,10.84446662,106.62768551
228,10.83973911,106.64097923
229,10.82756181,106.63119971
230,10.82138396,106.64320565
231,10.83035716,106.63356116
232,10.8232088,106.6292384
233,10.73124074,106.6882469
234,10.83460694,106.59596391
235,10.82897427,106.63358353
236,10.83101045,106.63795907
237,10.82301848,106.62987444
238,10.8133191,106.65848681
239,10.85362205,106.66200689
240,10.82122513,106.61422526
